品牌,型号,价格,上市年份,上市月份,操作系统,操作系统版本,CPU品牌,CPU型号,CPU核数,GPU,机身内存,运行内存,最大存储扩展,屏幕尺寸,分辨率,后置摄像头,前置摄像头,链接,备注,店铺,评价
大显（DaXian）,R7,599.00,2015年,11月,,YunOS,联发科（MTK),,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10110820391.html,大显 R7双卡双待指纹解锁智能手机移动4G 金属边框 2.5D玻璃 爵士金 16G,名宣手机专营店,1119
大显（DaXian）,D189,69.00,2013年,,,无,其他,,,,无,,4GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1064358527.html,大显（DaXian）D189 移动/联通2G 老人手机 红色 官方标配,亿维联创手机专营店,82243
大显（DaXian）,DaXian7i,399.00,2016年,2月,,YunOS,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10140241554.html,大显 DaXian 7i 移动4G智能手机 双卡双待 金色,畅通浩宇手机专营店,1211
大显（DaXian）,DX868,99.00,2014年,,,无,其他,,单核,,无,,8GB,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1062831420.html,大显DX868老人机 移动联通2G老人手机 中国红 老年版,维库精品手机专营店,11518
大显（DaXian）,R7,599.00,2015年,11月,,YunOS,联发科（MTK),,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10050169631.html,大显（DaXian）R7 移动4G 双卡双待 智能手机 爵士金 官方标配,亿维联创手机专营店,1078
大显（DaXian）,DX588,158.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,240*320,8万像素,不支持,http://item.jd.com/10030250529.html,大显DX588 老人手机 三防 移动 联通 迷彩,云和三防手机专营店,6662
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1444971353.html,大显（DaXian）F189 翻盖老人手机 移动/联通2G 双卡双待 红色,君可安手机专营店,10742
大显（DaXian）,DX886,199.00,2013年,,,其他,其他,,,,无,,4GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1310105093.html,大显（DaXian）DX886 移动/联通2G翻盖老人手机 双卡双待 红色,鸿锐科技手机专营店,11143
大显（DaXian）,7i,398.00,2016年,,,YunOS,联发科（MTK),,,,16GB ROM,1GB RAM,32GB,5.5英寸,480×854,800万像素,200万像素,http://item.jd.com/10158523142.html,大显 DaXian 7i 移动4G智能手机 双卡双待 金色,大显谷鸽专卖店,413
,C68,179.00,2015年,10月,,无,其他,,,,无,,,4英寸以下,240*320以下,130万以下 ,不支持,http://item.jd.com/1295153640.html,大显C68电信2G三防老人手机 橙,豪泰手机专营店,3071
大显（DaXian）,JL555,108.00,2015年,,,无,其他,,,,无,,2GB,1.8英寸,240*320,130万以下 ,不支持,http://item.jd.com/1633960395.html,大显（DaXian）JL555 电信2G老人手机 黑色 电信老年版,易为理想手机专营店,3937
,7i,399.00,2016年,,安卓（Android）,YunOS,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10226037822.html,大显(DaXian) 7i 移动4G智能手机 双卡双待 金色,亿维联创手机专营店,124
大显（DaXian）,K1,66.00,2015年,1月,,无,其他,,,,无,,8GB,1.8英寸,240*320,30万像素,不支持,http://item.jd.com/1446727656.html,大显（DaXian）K1 移动/联通2G老人手机 黑色 老年版,易为理想手机专营店,10768
大显（DaXian）,c886,199.00,2016年,4月,,其他,其他,,,,其它,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10287855278.html,大显（DaXian）C886 电信2G老人手机翻盖 金色,鸿锐科技手机专营店,106
大显（DaXian）,DX968,158.00,2014年,12月,,其他,其他,,单核,,其它,64MB RAM,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1058623737.html,大显DX968老年机 移动联通2G三防老人手机 迷彩色 老年机,维库精品手机专营店,4657
大显（DaXian）,DXS5,299.00,2015年,12月,,其他,联发科（MTK),,,,32MB,,,其它,其它,不支持,不支持,http://item.jd.com/10075698123.html,大显 DXS5 卡片手机学生手机轻薄老人机功能机移动联通备用手机 可插卡打电话 曜石黑,名宣手机专营店,514
,R7,599.00,2015年,11月,,YunOS,联发科（MTK),,四核,,16GB ROM,2GB RAM,32GB,5.0英寸,"1280×720(HD,720P) ",800万像素,200万像素,http://item.jd.com/10127109826.html,大显R 7 移动4G 智能手机 指纹解锁 双卡双待 爵士金,易为理想手机专营店,141
大显（DaXian）,DX328,179.00,2016年,1月,,其他,其他,,,,其它,,,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10194271800.html,大显（DaXian）DX328 移动/联通2G老人机  三防翻盖老人手机  双卡双待 红色,福佰仕手机专营店,175
大显（DaXian）,7i,399.00,2016年,,安卓（Android）,YunOS,联发科（MTK),,四核,,16GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10190818107.html,大显 DaXian 7i 移动4G大屏智能手机  双卡双待 金色,思创伟业手机专营店,109
,DX288,129.00,2016年,,,其他,其他,,,,32MB,,,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10126962385.html,大显（Daxian）DX288 移动联通2G 三防老人手机 迷彩色,众能兆科手机专营店,861
大显（DaXian）,DX600,199.00,2014年,6月,,其他,其他,,,,无,,8GB,4英寸以下,240*320,30万像素,不支持,http://item.jd.com/1173384514.html,大显（DaXian） DX600 电信2G 翻盖 老人手机 黑色,亿维联创手机专营店,2678
,JL333,109.00,2014年,,,无,其他,,,,无,,8GB,4英寸以下,240*320以下,130万以下 ,不支持,http://item.jd.com/1489821132.html,大显(DaXian)JL333移动联通2G翻盖男女款老人手机 双卡双待 手机 金,豪泰手机专营店,1718
大显（DaXian）,W2015,299.00,2015年,8月,,无,联发科（MTK),MT6250,单核,,128MB ROM,64MB RAM,8GB,4英寸以下,320*480,200万像素,不支持,http://item.jd.com/1431593052.html,大显W2015 移动/联通2G 翻盖老人手机 双卡双待 香槟金,大显谷鸽专卖店,3400
大显（DaXian）,DX188,99.00,2015年,12月,,无,其他,,,,无,,16GB,2.4英寸,240*320,130万以下 ,不支持,http://item.jd.com/10102066878.html,大显（DaXian）DX188 移动联通2G老人手机 金色,思拓帆数码专营店,1198
大显（DaXian）,JL555,108.00,2014年,,,无,其他,,,,无,,,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1215837446.html,大显（DaXian）JL555 电信2G 老人手机 红色,亿维联创手机专营店,2171
,K1,66.00,2015年,,,其他,其他,,,,其它,,,4英寸以下,240*320,130万以下 ,支持,http://item.jd.com/1449285494.html,大显（DaXian）K1 移动/联通2G老年机 直板老人手机 黑色,天探手机专营店,2048
,123,55.00,2014年,,,无,其他,,,,无,,,1.77英寸,240*320,不支持,不支持,http://item.jd.com/10128867459.html,大显（Daxian）JL123 移动联通2G 直板按键老人手机 黑色,天探手机专营店,669
大显（DaXian）,DX328,179.00,2016年,1月,,其他,其他,,,,其它,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10163161775.html,大显DX328老年手机 移动联通2G三防翻盖老人手机 橙色 老年版,维库精品手机专营店,659
大显（DaXian）,DX628,79.00,2016年,1月,,无,其他,,,,无,,2GB,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1586561636.html,大显（DaXian）DX628 移动/联通2G 直板老人手机 金色大显 金色,千机百惠手机专营店,588
,JL123,59.00,2014年,,,无,其他,,,,其它,,,其它,其它,不支持,不支持,http://item.jd.com/1715729144.html,大显（Daxian）JL123 移动联通2G 老人手机 单卡单待 手机 红色,千机百惠手机专营店,1090
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1173546908.html,大显（DaXian）F189 移动/联通2G 翻盖老人手机 红色,亿维联创手机专营店,3643
大显（DaXian）,C886,199.00,2016年,,,其他,其他,,,,64MB ROM,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10296780642.html,大显（DaXian） C886 电信2G 翻盖老人手机 金色,京成日盛手机专营店,37
,D189,69.00,2013年,,,无,其他,,,,无,,,其它,240*320以下,130万以下 ,不支持,http://item.jd.com/1428514417.html,大显D189 移动/联通2G 直板老人手机 黑色,天探手机专营店,1808
大显（DaXian）,DX188,119.00,2015年,12月,,无,其他,,,,64MB ROM,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10099476871.html,大显DX188老年手机 移动联通老人机 双卡双待 土豪金-已售出1700多件,超佰亿手机专营店,1665
大显（DaXian）,DXS5,299.00,2016年,1月,,无,联发科（MTK),,,,32MB,32MB RAM,,其它,其它,不支持,不支持,http://item.jd.com/10113821453.html,大显 DXS5 移动/联通2G 超薄卡片手机 学生儿童小手机 香槟金,雅玛亚虎手机专营店,59
大显（DaXian）,7i,399.00,2016年,,,YunOS,联发科（MTK),,,,16GB ROM,1GB RAM,32GB,5.5英寸,480×854,800万像素,200万像素,http://item.jd.com/10210515903.html,大显 DaXian 7i 移动4G智能手机 双卡双待 金色,优爱特手机专营店,19
大显（DaXian）,K8,79.00,2014年,12月,,无,其他,,,,无,,4GB,2.0英寸,240*320,130万以下 ,不支持,http://item.jd.com/1415358684.html,大显（DaXian）K8 移动/联通2G老人手机 双卡双待 红色,易为理想手机专营店,2404
大显（DaXian）,dx288,129.00,2016年,1月,,无,其他,,,,64MB ROM,128MB RAM,16GB,4英寸以下,480×854,不支持,不支持,http://item.jd.com/10102033976.html,大显（Daxian）DX288 移动联通2G 三防老人手机 橙色,维信通手机专营店,1113
大显（DaXian）,W2015,299.00,2015年,,,无,联发科（MTK),,单核,,其它,64MB RAM,8GB,4英寸以下,320*480,200万像素,不支持,http://item.jd.com/10225701154.html,大显W2015 移动/联通2G 翻盖老人手机 双卡双待 香槟金,飞鸿移动手机专营店,34
大显（DaXian）,f189,168.00,2014年,,,无,联发科（MTK),,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1466193725.html,大显（DaXian）F189 翻盖老人手机 移动/联通2G 双卡双待 红色,东旭优品手机专营店,4422
大显（DaXian）,GS6,218.00,2016年,,,无,联发科（MTK),,,,32MB,,,其它,其它,不支持,不支持,http://item.jd.com/10122631337.html,大显GS6 超薄卡片手机 移动联通小手机 香槟金,雅玛亚虎手机专营店,12
大显（DaXian）,DX9168,299.00,2014年,11月,安卓（Android）,Android 4.2,联发科（MTK),MT6572,双核,,4GB ROM,512MB RAM,32GB,4.0英寸,480×800,200万像素,支持,http://item.jd.com/1389295661.html,大显DX9168 移动/联通2G智能老人手机老年手机 星光银,鸿锐科技手机专营店,760
大显（DaXian）,7i,398.00,2016年,,,YunOS,联发科（MTK),,,,16GB ROM,1GB RAM,32GB,5.5英寸,960×540(QHD),800万像素,200万像素,http://item.jd.com/10209524522.html,大显 DaXian 7i 移动4G智能手机 双卡双待 白色,飞鸿移动手机专营店,72
大显（DaXian）,V8848,359.00,2016年,1月,,无,联发科（MTK),,,,128MB ROM,64MB RAM,4GB,2.4英寸,320*480,30万像素,不支持,http://item.jd.com/10112023278.html,大显（DaXian）V8848轻薄触控手机 迷你卡片机 直板备用学生手机 玫瑰金,关爱心数码专营店,76
,DX889,99.00,2015年,11月,,无,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10087750771.html,大显DX889  移动/联通2G  双卡双待直板按键老人手机 黑色,天探手机专营店,395
大显（DaXian）,DX889,99.00,2016年,1月,,其他,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10160098794.html,大显DX889 移动/联通2g老人手机 双卡双待 金色,易为理想手机专营店,242
大显（DaXian）,D189,69.00,2013年,,,无,其他,,,,无,,4GB,1.8英寸,240*320,30万像素,不支持,http://item.jd.com/1248014783.html,大显(DaXian) D189 移动/联通2G老人手机 黑色,优星伟业手机专营店,1957
,968,158.00,2015年,7月,,无,其他,,,,无,,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1644857924.html,大显DX968 联通\移动2G三防手机男女款老人手机 桔红,豪泰手机专营店,548
,DX328,199.00,2015年,,,其他,其他,,,,其它,,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10113923911.html,大显（DaXian）DX328移动/联通2G 三防翻盖老人手机 双卡双待 橙色,世纪手机专营店,234
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10277970852.html,大显（DaXian）F189 翻盖老人手机 移动/联通2G 双卡双待 红色,关爱心数码专营店,9
大显（DaXian）,D189,69.00,2013年,,,其他,其他,,,,无,,,1.8英寸,240*320,其他,不支持,http://item.jd.com/10110723721.html,Daxian/大显D189 移动联通2G 直板按键老人手机 黑色,海纳手机专营店,73
大显（DaXian）,DX889,99.00,2015年,10月,,其他,其他,,,,128MB ROM,,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10109538372.html,Daxian/大显DX889 移动联通2G 老人手机 双卡双待 红色,海纳手机专营店,79
,dx800,63.00,2013年,,,无,其他,,,,无,,,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1371924412.html,大显 DX800 移动/联通 GSM 老人手机 白色,天探手机专营店,802
,DX188,99.00,2015年,,,其他,其他,,,,其它,,8GB,2.4英寸,其它,130万以下 ,不支持,http://item.jd.com/10098015635.html,大显（DaXian）DX188 移动/联通2G直板老人手机 双卡双待 黑色,世纪手机专营店,338
大显（DaXian）,GS6,218.00,2016年,2月,,其他,其他,,,,无,,16GB,其它,其它,不支持,不支持,http://item.jd.com/10141047389.html,大显 GS6 卡片手机学生手机轻薄老人机功能机移动联通备用手机 可插卡打电话 曜石黑,名宣手机专营店,20
大显（DaXian）,K8,79.00,2015年,3月,,无,其他,,,,无,,4GB,2.0英寸,240*320,30万像素,不支持,http://item.jd.com/1482350798.html,大显（DaXian）K8 移动/联通2G老人手机 双卡双待 红色,异维手机专营店,767
,DX188,99.00,2015年,12月,,无,其他,,,,无,,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10191753825.html,大显DX188  移动联通GSM老人机 双卡双待 金色,天探手机专营店,24
大显（DaXian）,DX868,99.00,2015年,2月,,Symbian S60,其他,,,,256MB ROM,,1GB,4英寸以下,1024×600,不支持,不支持,http://item.jd.com/1676012631.html,大显（DaXian）DX868 移动/联通2G 直板老人手机 双卡双待 金色,维信通手机专营店,326
大显（DaXian）,DX968,158.00,2015年,7月,,无,其他,MT6752,单核,,32MB,64MB RAM,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1639314232.html,大显（DaXian） DX968 移动/联通2G 三防老人手机 迷彩色,大显谷鸽专卖店,1421
大显（DaXian）,W2015,349.00,2014年,12月,,无,联发科（MTK),,单核,,32MB,32MB RAM,8GB,3.5英寸,320*480,200万像素,不支持,http://item.jd.com/1511351071.html,大显（Daxian）W2015 移动/联通2G 大屏翻盖老人手机 双卡双待 香槟金,金辉天成手机专营店,593
﻿大显（DaXian）,DX328,199.00,2016年,1月,,其他,其他,,,,其它,,8GB,2.8英寸,240*320,30万像素,不支持,http://item.jd.com/10119395095.html,大显（DaXian）DX328 移动联通2G三防翻盖老人手机 绿色,思拓帆数码专营店,94
,DX889,99.00,2015年,12月,,其他,其他,,,,无,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10166119910.html,大显 DX889 移动联通老人手机双卡双待老人机 金色,多如意数码专营店,57
大显（DaXian）,DX628,96.00,2016年,,,无,其他,,,,无,,2GB,4英寸以下,240*320,不支持,不支持,http://item.jd.com/10204369697.html,大显（DaXian）DX628 移动/联通2G双卡双待 老年人手机 黑色,关爱心数码专营店,23
,DX628,96.00,2016年,1月,,无,其他,,,,无,,,2.4英寸,240*320,不支持,不支持,http://item.jd.com/10146787103.html,大显（DaXian）DX628 移动/联通2G双卡双待老年人手机 金色,天探手机专营店,25
大显（DaXian）,F189,168.00,2014年,6月,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10104960041.html,大显(DaXian)  F189 移动/联通2G翻盖老人手机 双卡双待 金色,优爱特手机专营店,21
大显（DaXian）,,178.00,2015年,,,其他,其他,,,,无,,8GB,2.0英寸,320*480,30万像素,不支持,http://item.jd.com/1626394648.html,大显（DaXian） C68 电信2G 三防老人手机 军绿色,京成日盛手机专营店,274
大显（DaXian）,DX889,99.00,2015年,12月,,无,联发科（MTK),,,,无,,2GB,2.4英寸,320*480,30万像素,不支持,http://item.jd.com/10103505694.html,大显（DaXian）DX889 直板手机 移动/联通2G老人手机 黑色,关爱心数码专营店,91
大显（DaXian）,DX868,99.00,2015年,5月,,无,其他,,,,无,,,4英寸以下,240*320,不支持,不支持,http://item.jd.com/1576330328.html,大显（DaXian）DX868 移动/联通2G老人手机 双卡双待 红色,优星伟业手机专营店,193
大显（DaXian）,dx628,96.00,2016年,1月,,无,其他,,,,256MB ROM,64MB RAM,32GB,2.4英寸,其它,不支持,不支持,http://item.jd.com/10122956962.html,大显（DaXian）DX628 移动/联通2G 直板老人手机 粉红色,维信通手机专营店,179
大显（DaXian）,DX968,156.00,2015年,,,无,其他,,,,无,,8GB,2.4英寸,320*480,30万像素,不支持,http://item.jd.com/1626412297.html,大显（DaXian） DX968 移动/联通2G 三防老人手机 桔红,京成日盛手机专营店,94
,DX668,158.00,2015年,,,无,其他,,,,32MB,64MB RAM,8GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1711635662.html,大显（DaXian） DX968 移动/联通2G 三防老人手机 迷彩色,吉家祥园手机专营店,34
大显（DaXian）,DX889,99.00,2015年,,,其他,其他,,,,32MB,32MB RAM,16GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10090497155.html,大显(DaXian) DX889 联通/移动2G GSM老人手机 香槟金,优爱特手机专营店,84
大显（DaXian）,9500,138.00,2013年,10月,,无,联发科（MTK),,,,无,,4GB,4英寸以下,240*320,130万以下 ,不支持,http://item.jd.com/1314308201.html,大显(DaXian)I9500移动/联通2G(GSM)老人手机 黑色,雅玛亚虎手机专营店,341
大显（DaXian）,DX600,199.00,2014年,7月,,无,其他,,,,64MB ROM,128MB RAM,32GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/1726147216.html,大显（DaXian）DX600电信 翻盖老人手机 红色,佳智时代手机专营店,14
,DX889,99.00,2015年,,,无,其他,,,,无,,,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10097941943.html,大显（DaXian）DX889 移动/联通2G 老人手机 双卡双待 黑色,优星伟业手机专营店,20
大显（DaXian）,DX899,99.00,2016年,,,其他,其他,,,,32MB,,8GB,2.4英寸,240*320,30万像素,不支持,http://item.jd.com/10349243981.html,大显DX889 移动/联通2g老人手机 双卡手写手机 红色,久汇手机专营店,0
大显（DaXian）,D189,69.00,2013年,,,其他,其他,,,,其它,,,其它,240*320,30万像素,不支持,http://item.jd.com/10355920892.html,大显D189 移动/联通2G 直板老人手机 黑色,久汇手机专营店,0
